Date,Open,High,Low,Close,Volume,등락률,Adj Close
2025-08-04,69500,70200,68700,69700,14780072,1.1611030478955007,69700
2025-08-05,71000,71500,69700,69900,14392903,0.2869440459110474,69900
2025-08-06,69200,69400,68300,68800,12542415,-1.5736766809728182,68800
2025-08-07,70800,71000,69700,70500,15008213,2.4709302325581395,70500
2025-08-08,71000,72400,70700,71800,22241128,1.8439716312056738,71800
2025-08-11,72000,72100,70800,71000,11354253,-1.1142061281337048,71000
2025-08-12,71100,72400,71100,71100,15797656,0.14084507042253522,71100
2025-08-13,71900,72100,71400,71900,12305742,1.1251758087201125,71900
2025-08-14,71900,71900,71200,71600,11946122,-0.4172461752433936,71600
2025-08-18,71100,71200,70000,70000,13595591,-2.2346368715083798,70000
2025-08-19,70400,70700,69700,70000,10533082,0.0,70000
2025-08-20,70100,70700,69400,70500,17445516,0.7142857142857143,70500
2025-08-21,71500,71900,70600,70600,18843833,0.14184397163120568,70600
2025-08-22,71700,71800,70800,71400,9277432,1.13314447592068,71400
2025-08-25,71700,71800,71000,71500,10345178,0.1400560224089636,71500
2025-08-26,70800,71100,70300,70300,14712519,-1.6783216783216783,70300
2025-08-27,70100,70900,69800,70600,10523405,0.42674253200568996,70600
2025-08-28,70100,70400,69600,69600,11578024,-1.41643059490085,69600
2025-08-29,70100,70500,69700,69700,11682267,0.14367816091954022,69700
2025-09-01,68400,68600,67500,67600,12002343,-3.012912482065997,67600
2025-09-02,67800,69500,67800,69100,10604028,2.2189349112426036,69100
2025-09-03,69200,69800,68800,69800,10283009,1.0130246020260492,69800
2025-09-04,69500,70100,69300,70100,12284414,0.42979942693409745,70100
2025-09-05,70300,70400,69500,69500,11526724,-0.8559201141226819,69500
2025-09-08,69800,70500,69600,70100,9263135,0.8633093525179856,70100
2025-09-09,70100,71500,70000,71500,14870245,1.9971469329529243,71500
2025-09-10,71800,72800,71600,72600,21928565,1.5384615384615385,72600
2025-09-11,73200,73600,72100,73400,20793501,1.1019283746556474,73400
2025-09-12,74600,75600,74200,75400,28219678,2.7247956403269753,75400
2025-09-15,77200,77600,75900,76500,19908805,1.4588859416445623,76500
2025-09-16,76900,79500,76700,79400,27771531,3.7908496732026142,79400
